PRICE_DATE,PR_PROD_NAME,MARKET_NAME,PRICE_DAY
21-DEC-18,"หัวมันสำปะหลังสดเชื้อแป้ง 25%(นอกโครงการ)","บ.สงวนวงษ์อุตสาหกรรม จำกัด นครราชสีมา ",2.55
21-DEC-18,"หัวมันสำปะหลังสดเชื้อแป้ง 25%(นอกโครงการ)","โรงงานแป้งมันสำปะหลังครบุรี นครราชสีมา ",2.55
21-DEC-18,"หัวมันสำปะหลังสดเชื้อแป้ง 25%(นอกโครงการ)","บริษัท ชลเจริญ จำกัด ชลบุรี ",2.55
21-DEC-18,"ผลปาล์มน้ำมันทั้งทะลาย นน.> 15 กก. ขึ้นไป","บริษัท สุขสมบูรณ์น้ำมันปาล์ม จำกัด ชลบุรี ",2.55
21-DEC-18,"ผลปาล์มน้ำมันทั้งทะลาย นน.> 15 กก. ขึ้นไป","สหกรณ์นิคมการเกษตรท่าแซะ ชุมพร ",2.8
21-DEC-18,"ผลปาล์มน้ำมันทั้งทะลาย นน.> 15 กก. ขึ้นไป","บริษัท ศรีเจริญปาล์มออยล์ จำกัด ชุมพร ",2.6
21-DEC-18,"ผลปาล์มน้ำมันทั้งทะลาย นน.> 15 กก. ขึ้นไป","บริษัท วิจิตรภัณฑ์สวนปาล์ม จำกัด ชุมพร ",2.6
21-DEC-18,"ผลปาล์มน้ำมันทั้งทะลาย นน.> 15 กก. ขึ้นไป","บจ.แสงศิริอุตสาหกรรมการเกษตร สุราษฎร์ธานี ",3
21-DEC-18,"ผลปาล์มน้ำมันทั้งทะลาย นน.> 15 กก. ขึ้นไป","ร้านแสงตะวันการยาง(คุณประดิษฐ์ แสงตะวันวงศ์) สุราษฎร์ธานี ",2.8
21-DEC-18,"ผลปาล์มน้ำมันทั้งทะลาย นน.> 15 กก. ขึ้นไป","บริษัท ทักษิณ อุตสาหกรรมน้ำมันปาล์ม จำกัด สุราษฎร์ธานี ",2.8
21-DEC-18,"ผลปาล์มน้ำมันทั้งทะลาย นน.> 15 กก. ขึ้นไป","บริษัท ท่าฉางสวนปาล์มน้ำมันอุตสาหกรรม จำกัด สุราษฎร์ธานี ",3.1
21-DEC-18,"ผลปาล์มน้ำมันทั้งทะลาย นน.> 15 กก. ขึ้นไป","ลานพระบาท สุราษฎร์ธานี ",2.8
21-DEC-18,"ผลปาล์มน้ำมันทั้งทะลาย นน.> 15 กก. ขึ้นไป","ลานปาล์ม หานลุ่มปาล์ม(คุณสมเดช ก่อเซ็ม) พังงา ",2.6
21-DEC-18,"ผลปาล์มน้ำมันทั้งทะลาย นน.> 15 กก. ขึ้นไป","บมจ. ยูนิวานิชน้ำมันปาล์ม กระบี่ ",2.4
21-DEC-18,"ผลปาล์มน้ำมันทั้งทะลาย นน.> 15 กก. ขึ้นไป","ชุมนุมสหกรณ์ชาวสวนปาล์มน้ำมันกระบี่ จำกัด กระบี่ ",2.7
21-DEC-18,"มะพร้าวผลแห้งทั้งเปลือก ขนาดใหญ่","จุดรับซื้อ ผู้ใหญ่วิโรจน์ สว่างงาม สมุทรสงคราม ",600
21-DEC-18,"มะพร้าวผลแห้งทั้งเปลือก ขนาดใหญ่","แหล่งรับซื้อ ทับสะแก ประจวบคีรีขันธ์ ",700
21-DEC-18,"หอมแดงหัวกลางมัดจุก แห้ง 7 - 15 วัน","ร้านสิทธิกร ศรีสะเกษ ",22
21-DEC-18,สับปะรดโรงงานผลขนาดใหญ่,"บริษัท SAICO จำกัด ระยอง ",3.2
21-DEC-18,สับปะรดโรงงานผลขนาดใหญ่,"โรงงานอาหารสยาม ชลบุรี ",2.9
21-DEC-18,สับปะรดโรงงานผลขนาดใหญ่,"กลุ่มสหกรณ์ผู้ปลูกสับปะรด ราชบุรี ",3
21-DEC-18,สับปะรดโรงงานผลขนาดใหญ่,"บ. สามร้อยยอดจำกัด (เอส.อาร์.วาย.) ประจวบคีรีขันธ์ ",3.6
21-DEC-18,สับปะรดโรงงานผลขนาดใหญ่,"บ. กุยบุรีผลไม้กระป๋องจำกัด (เค.เอฟ.ซี.) ประจวบคีรีขันธ์ ",3.2
21-DEC-18,"ยางพาราแผ่นดิบ ชั้น 3","ร้านสินการยาง ระยอง ",38
21-DEC-18,"ยางพาราแผ่นดิบ ชั้น 3","ร้านคุณพจน์ (คุณพจน์ อาคมนุวัฒน์) ชุมพร ",39
21-DEC-18,"ยางพาราแผ่นดิบ ชั้น 3","บจ.สุราษฎร์สัมฤทธ์ธุรกิจ สุราษฎร์ธานี ",39
21-DEC-18,"ยางพาราแผ่นดิบ ชั้น 3","ตลาดกลางยางพารา สุราษฎร์ธานี สุราษฎร์ธานี ",0
21-DEC-18,"ยางพาราแผ่นดิบ ชั้น 3","ร้านแสงตะวันการยาง(คุณประดิษฐ์ แสงตะวันวงศ์) สุราษฎร์ธานี ",39
21-DEC-18,"ยางพาราแผ่นดิบ ชั้น 3","ตลาดกลางยางพารา นครศรีธรรมราช ",41.01
21-DEC-18,"ยางพาราแผ่นดิบ ชั้น 3","สำนักตลาดกลางยางพารา สงขลา ",40.87
21-DEC-18,"ยางพาราแผ่นดิบ ชั้น 3","ตลาดกลางยางพารา ยะลา ยะลา ",41.1
21-DEC-18,น้ำยางพาราสด,"บริษัท ไทยรับเบอร์ลาเทกซ์กรุ๊ป ระยอง ",22
21-DEC-18,น้ำยางพาราสด,"ร้านคุณพจน์ (คุณพจน์ อาคมนุวัฒน์) ชุมพร ",35
21-DEC-18,น้ำยางพาราสด,"ร้านแสงตะวันการยาง(คุณประดิษฐ์ แสงตะวันวงศ์) สุราษฎร์ธานี ",35
